Bank,Tweet Number,Tweet Date,Week,Quarter,gcp_score,Google Trend,Competitor1,Competitor2,Competitor3,Competitor4,ROA,ROS,Operating Income to Sales,Opearting Income to Assets,Operating Expenses to Sales,Cost of Goods to Sales,"Selling, General and Administrative Expenses to Sales"
BMO,1,11/1/2011,1,1,-0.200000003,73,53,70,91,73,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,2,11/1/2011,1,1,0.200000003,73,53,70,91,73,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,3,11/2/2011,1,1,0.800000012,73,53,70,91,73,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,4,11/2/2011,1,1,0.100000001,73,53,70,91,73,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,5,11/2/2011,1,1,-0.100000001,73,53,70,91,73,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,6,11/2/2011,1,1,0.200000003,73,53,70,91,73,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,7,11/2/2011,1,1,-0.100000001,73,53,70,91,73,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,8,11/2/2011,1,1,0.200000003,73,53,70,91,73,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,9,11/3/2011,1,1,0.5,73,53,70,91,73,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,10,11/3/2011,1,1,0.100000001,73,53,70,91,73,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,11,11/3/2011,1,1,0.800000012,73,53,70,91,73,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,12,11/3/2011,1,1,0.800000012,73,53,70,91,73,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,13,11/4/2011,1,1,0.200000003,73,53,70,91,73,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,14,11/4/2011,1,1,0.800000012,73,53,70,91,73,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,15,11/4/2011,1,1,0.899999976,73,53,70,91,73,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,16,11/7/2011,2,1,-0.800000012,72,79,78,84,81,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,17,11/8/2011,2,1,0.400000006,72,79,78,84,81,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,18,11/8/2011,2,1,0.699999988,72,79,78,84,81,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,19,11/8/2011,2,1,0.300000012,72,79,78,84,81,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,20,11/9/2011,2,1,-0.800000012,72,79,78,84,81,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,21,11/9/2011,2,1,-0.100000001,72,79,78,84,81,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,22,11/10/2011,2,1,0.600000024,72,79,78,84,81,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,23,11/10/2011,2,1,-0.100000001,72,79,78,84,81,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,24,11/11/2011,2,1,-0.5,72,79,78,84,81,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,25,11/12/2011,2,1,-0.5,72,79,78,84,81,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,26,11/14/2011,3,1,-0.400000006,76,79,86,85,83,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,27,11/14/2011,3,1,0.899999976,76,79,86,85,83,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,28,11/15/2011,3,1,0.100000001,76,79,86,85,83,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,29,11/15/2011,3,1,-0.200000003,76,79,86,85,83,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,30,11/15/2011,3,1,0,76,79,86,85,83,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,31,11/16/2011,3,1,-0.699999988,76,79,86,85,83,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,32,11/16/2011,3,1,0,76,79,86,85,83,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,33,11/16/2011,3,1,0.899999976,76,79,86,85,83,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,34,11/16/2011,3,1,0.100000001,76,79,86,85,83,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,35,11/16/2011,3,1,-0.800000012,76,79,86,85,83,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,36,11/16/2011,3,1,0,76,79,86,85,83,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,37,11/16/2011,3,1,0.400000006,76,79,86,85,83,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,38,11/17/2011,3,1,0.5,76,79,86,85,83,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,39,11/18/2011,3,1,-0.600000024,76,79,86,85,83,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,40,11/18/2011,3,1,-0.100000001,76,79,86,85,83,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
BMO,41,11/18/2011,3,1,-0.300000012,76,79,86,85,83,0.002025044,0.205544032,0.260230058,0.002563817,0.567603243,0.145012257,0.422590986
