Bank,Tweet Number,Tweet Date,Week,Quarter,gcp_score,Google Trend,Competitor1,Competitor2,Competitor3,Competitor4,ROA,ROS,Operating Income to Sales,Opearting Income to Assets,Operating Expenses to Sales,Cost of Goods to Sales,"Selling, General and Administrative Expenses to Sales"
CIBC,1,11/17/2011,3,1,-0.400000006,85,76,79,86,83,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,2,11/23/2011,4,1,0.100000001,85,73,77,80,78,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,3,11/25/2011,4,1,-0.600000024,85,73,77,80,78,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,4,11/28/2011,5,1,-0.300000012,91,78,84,89,84,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,5,11/29/2011,5,1,-0.5,91,78,84,89,84,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,6,12/1/2011,5,1,-0.400000006,91,78,84,89,84,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,7,12/1/2011,5,1,-0.400000006,91,78,84,89,84,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,8,12/5/2011,6,1,-0.600000024,89,76,81,90,83,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,9,12/6/2011,6,1,-0.100000001,89,76,81,90,83,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,10,12/9/2011,6,1,-0.100000001,89,76,81,90,83,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,11,12/12/2011,7,1,-0.600000024,87,77,79,93,82,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,12,12/14/2011,7,1,-0.100000001,87,77,79,93,82,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,13,12/16/2011,7,1,-0.699999988,87,77,79,93,82,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,14,12/29/2011,9,1,0,87,75,82,94,81,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,15,1/3/2012,10,1,0.400000006,94,85,90,98,88,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,16,1/4/2012,10,1,-0.699999988,94,85,90,98,88,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,17,1/7/2012,10,1,-0.300000012,94,85,90,98,88,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
CIBC,18,1/10/2012,11,1,-0.200000003,88,78,78,91,81,0.002125437,0.194939082,0.228678538,0.002493301,0.691893158,0.293580131,0.398313027
