Bank,Tweet Number,Tweet Date,Week,Quarter,gcp_score,Google Trend,Competitor1,Competitor2,Competitor3,Competitor4,ROA,ROS,Operating Income to Sales,Opearting Income to Assets,Operating Expenses to Sales,Cost of Goods to Sales,"Selling, General and Administrative Expenses to Sales"
RBC,1,11/1/2011,1,1,0.100000001,73,73,53,70,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,2,11/1/2011,1,1,0.300000012,73,73,53,70,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,3,11/1/2011,1,1,0.699999988,73,73,53,70,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,4,11/1/2011,1,1,0,73,73,53,70,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,5,11/2/2011,1,1,-0.600000024,73,73,53,70,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,6,11/3/2011,1,1,0.5,73,73,53,70,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,7,11/3/2011,1,1,-0.300000012,73,73,53,70,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,8,11/3/2011,1,1,-0.400000006,73,73,53,70,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,9,11/3/2011,1,1,-0.800000012,73,73,53,70,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,10,11/4/2011,1,1,0.5,73,73,53,70,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,11,11/4/2011,1,1,0,73,73,53,70,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,12,11/11/2011,2,1,0.899999976,81,72,79,78,84,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,13,11/12/2011,2,1,-0.699999988,81,72,79,78,84,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,14,11/13/2011,2,1,0,81,72,79,78,84,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,15,11/14/2011,3,1,-0.800000012,83,76,79,86,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,16,11/14/2011,3,1,0.899999976,83,76,79,86,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,17,11/14/2011,3,1,0.200000003,83,76,79,86,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,18,11/16/2011,3,1,-0.800000012,83,76,79,86,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,19,11/16/2011,3,1,0,83,76,79,86,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,20,11/17/2011,3,1,0,83,76,79,86,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,21,11/18/2011,3,1,0.100000001,83,76,79,86,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,22,11/19/2011,3,1,-0.600000024,83,76,79,86,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,23,11/20/2011,3,1,0.100000001,83,76,79,86,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,24,11/22/2011,4,1,0.899999976,78,73,77,80,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,25,11/22/2011,4,1,0,78,73,77,80,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,26,11/23/2011,4,1,-0.800000012,78,73,77,80,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,27,11/24/2011,4,1,0,78,73,77,80,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,28,11/24/2011,4,1,-0.699999988,78,73,77,80,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,29,11/25/2011,4,1,0.899999976,78,73,77,80,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,30,11/25/2011,4,1,0.800000012,78,73,77,80,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,31,11/25/2011,4,1,-0.699999988,78,73,77,80,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,32,11/25/2011,4,1,-0.200000003,78,73,77,80,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,33,11/27/2011,4,1,0.5,78,73,77,80,85,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,34,11/29/2011,5,1,-0.200000003,84,78,84,89,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,35,11/29/2011,5,1,0.699999988,84,78,84,89,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,36,11/29/2011,5,1,-0.200000003,84,78,84,89,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,37,11/29/2011,5,1,0.699999988,84,78,84,89,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,38,11/29/2011,5,1,-0.100000001,84,78,84,89,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,39,11/29/2011,5,1,-0.400000006,84,78,84,89,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,40,11/29/2011,5,1,0.899999976,84,78,84,89,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,41,12/1/2011,5,1,0.5,84,78,84,89,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,42,12/1/2011,5,1,0.300000012,84,78,84,89,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,43,12/2/2011,5,1,0.899999976,84,78,84,89,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,44,12/2/2011,5,1,0.400000006,84,78,84,89,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,45,12/2/2011,5,1,0.899999976,84,78,84,89,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,46,12/4/2011,5,1,-0.699999988,84,78,84,89,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,47,12/4/2011,5,1,-0.800000012,84,78,84,89,91,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,48,12/5/2011,6,1,0.5,83,76,81,90,89,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,49,12/6/2011,6,1,0.699999988,83,76,81,90,89,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,50,12/6/2011,6,1,-0.400000006,83,76,81,90,89,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,51,12/6/2011,6,1,-0.5,83,76,81,90,89,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,52,12/7/2011,6,1,-0.600000024,83,76,81,90,89,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,53,12/7/2011,6,1,0.300000012,83,76,81,90,89,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
