Bank,Tweet Number,Tweet Date,Week,Quarter,gcp_score,Google Trend,Competitor1,Competitor2,Competitor3,Competitor4,ROA,ROS,Operating Income to Sales,Opearting Income to Assets,Operating Expenses to Sales,Cost of Goods to Sales,"Selling, General and Administrative Expenses to Sales"
Scotia,1,11/5/2011,1,1,0.600000024,70,73,53,91,73,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,2,11/5/2011,1,1,0,70,73,53,91,73,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,3,11/10/2011,2,1,0.100000001,78,72,79,84,81,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,4,11/15/2011,3,1,0.899999976,86,76,79,85,83,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,5,11/16/2011,3,1,0.300000012,86,76,79,85,83,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,6,11/18/2011,3,1,-0.899999976,86,76,79,85,83,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,7,11/18/2011,3,1,-0.200000003,86,76,79,85,83,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,8,11/19/2011,3,1,0.5,86,76,79,85,83,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,9,11/24/2011,4,1,-0.800000012,80,73,77,85,78,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,10,11/30/2011,5,1,-0.899999976,89,78,84,91,84,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,11,12/2/2011,5,1,0.200000003,89,78,84,91,84,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,12,12/3/2011,5,1,0.300000012,89,78,84,91,84,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,13,12/14/2011,7,1,-0.5,93,77,79,87,82,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,14,12/16/2011,7,1,-0.400000006,93,77,79,87,82,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,15,12/20/2011,8,1,-0.200000003,97,81,84,95,83,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,16,12/26/2011,9,1,-0.800000012,94,75,82,87,81,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,17,12/27/2011,9,1,-0.699999988,94,75,82,87,81,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,18,1/2/2012,10,1,-0.200000003,98,85,90,94,88,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,19,1/5/2012,10,1,-0.699999988,98,85,90,94,88,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,20,1/5/2012,10,1,-0.800000012,98,85,90,94,88,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,21,1/6/2012,10,1,-0.5,98,85,90,94,88,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,22,1/11/2012,11,1,-0.699999988,91,78,78,88,81,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,23,1/13/2012,11,1,0,91,78,78,88,81,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,24,1/14/2012,11,1,-0.699999988,91,78,78,88,81,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
Scotia,25,1/14/2012,11,1,-0.800000012,91,78,78,88,81,0.002194473,0.220192156,0.282721688,0.002817653,0.658528902,0.280359112,0.378169791
